set_id,compound_id,compound_number,name,smiles,inchi,formula,charge,mode,carboxyl_count,hydroxyl_count,other_fg,nom_like_flag,source,pubchem_cid,comment,mass_val,H_C,O_C,nom_like_flag_vk,nom_like_flag_combined
set_01,PC00035,35,2-hydroxy-4-[(3-methyl-5-oxo-1-phenyl-4H-pyrazol-4-yl)diazenyl]benzoic acid,CC1=NN(C(=O)C1N=NC2=CC(=C(C=C2)C(=O)O)O)C3=CC=CC=C3,,C17H14N4O4,0,neg,1,2,,True,PubChem,207854,NOM-like candidate (random CID),,0.8235294117647058,0.23529411764705882,True,True
set_01,PC00036,36,2-[3-[(2-amino-3-phenylpropanoyl)amino]propanoylamino]-4-methylpentanoic acid,CC(C)CC(C(=O)O)NC(=O)CCNC(=O)C(CC1=CC=CC=C1)N,,C18H27N3O4,0,neg,1,1,,True,PubChem,437862,NOM-like candidate (random CID),,1.5,0.2222222222222222,True,True
set_01,PC00037,37,(2S)-2-[[1-cyclohexyl-2-[2-(4-nitrophenyl)ethenyl]benzimidazole-5-carbonyl]amino]-2-(5-hydroxy-1H-indol-3-yl)acetic acid,C1CCC(CC1)N2C3=C(C=C(C=C3)C(=O)NC(C4=CNC5=C4C=C(C=C5)O)C(=O)O)N=C2C=CC6=CC=C(C=C6)[N+](=O)[O-],,C32H29N5O6,0,neg,1,2,,True,PubChem,490984,NOM-like candidate (random CID),,0.90625,0.1875,False,False
set_01,PC00038,38,"(2R,3R,3aS,5S,6S,7R,7aR)-2-(2,4-dioxopyrimidin-1-yl)-3,6,7-trihydroxy-3,3a,5,6,7,7a-hexahydro-2H-furo[3,2-b]pyran-5-carboxylic acid",C1=CN(C(=O)NC1=O)C2C(C3C(O2)C(C(C(O3)C(=O)O)O)O)O,,C12H14N2O9,0,neg,1,4,,True,PubChem,197437,NOM-like candidate (random CID),,1.1666666666666667,0.75,False,False
set_01,PC00039,39,(2S)-2-amino-3-hydroxy-4-methylpentanoic acid,CC(C)C(C(C(=O)O)N)O,,C6H13NO3,0,neg,1,2,,True,PubChem,134611,NOM-like candidate (random CID),,2.1666666666666665,0.5,False,False
set_01,PC00040,40,"2-(9-nitro-7,8-dioxo-15-oxa-1,11-diazahexacyclo[16.3.1.04,12.04,21.05,10.013,19]docosa-5,9,17-trien-14-yl)acetic acid",C1CN2CC3=CCOC(C4C3CC2C15C4NC6=C(C(=O)C(=O)C=C56)[N+](=O)[O-])CC(=O)O,,C21H21N3O7,0,neg,1,1,,True,PubChem,221125,NOM-like candidate (random CID),,1.0,0.3333333333333333,True,True
set_01,PC00042,42,2-benzamidobenzoic acid,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)O,,C14H11NO3,0,neg,1,1,,True,PubChem,68482,NOM-like candidate (random CID),,0.7857142857142857,0.21428571428571427,True,True
set_01,PC00043,43,1-azabicyclo[2.2.2]octan-3-yl acetate;2-hydroxybenzoic acid,CC(=O)OC1CN2CCC1CC2.C1=CC=C(C(=C1)C(=O)O)O,,C16H21NO5,0,neg,1,2,,True,PubChem,23260,NOM-like candidate (random CID),,1.3125,0.3125,True,True
set_01,PC00044,44,4-(2-aminophenyl)butanoic acid,C1=CC=C(C(=C1)CCCC(=O)O)N,,C10H13NO2,0,neg,1,1,,True,PubChem,417330,NOM-like candidate (random CID),,1.3,0.2,True,True
set_01,PC00045,45,morpholine;nonanoic acid,CCCCCCCCC(=O)O.C1COCCN1,,C13H27NO3,0,neg,1,1,,True,PubChem,172036,NOM-like candidate (random CID),,2.076923076923077,0.23076923076923078,False,False
set_01,PC00048,48,"3-(1H-pyrrolo[2,3-b]pyrazin-7-yl)prop-2-enoic acid",C1=CN=C2C(=C(C=N2)C=CC(=O)O)N1,,C9H7N3O2,0,neg,1,1,,True,PubChem,304535,NOM-like candidate (random CID),,0.7777777777777778,0.2222222222222222,True,True
set_01,PC00049,49,"2-[1-(2,3-dimethylphenyl)-2,5-dimethylpyrrol-3-yl]acetic acid",CC1=C(C(=CC=C1)N2C(=CC(=C2C)CC(=O)O)C)C,,C16H19NO2,0,neg,1,1,,True,PubChem,206049,NOM-like candidate (random CID),,1.1875,0.125,False,False
set_01,PC00050,50,"(2S,3S)-2-amino-3-ethoxybutanoic acid",CCOC(C)C(C(=O)O)N,,C6H13NO3,0,neg,1,1,,True,PubChem,146840,NOM-like candidate (random CID),,2.1666666666666665,0.5,False,False
set_01,PC00052,52,"2-[[4-[(2,4-diaminopteridin-6-yl)methoxy]benzoyl]amino]pentanedioic acid",C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)OCC2=CN=C3C(=N2)C(=NC(=N3)N)N,,C19H19N7O6,0,neg,2,2,,True,PubChem,429008,NOM-like candidate (random CID),,1.0,0.3157894736842105,True,True
set_01,PC00056,56,2-amino-2-phenylpropanedioic acid,C1=CC=C(C=C1)C(C(=O)O)(C(=O)O)N,,C9H9NO4,0,neg,2,2,,True,PubChem,191194,NOM-like candidate (random CID),,1.0,0.4444444444444444,True,True
set_01,PC00057,57,acetic acid;2-(dimethylamino)ethyl 2-methylprop-2-enoate,CC(=C)C(=O)OCCN(C)C.CC(=O)O,,C10H19NO4,0,neg,1,1,,True,PubChem,82294,NOM-like candidate (random CID),,1.9,0.4,False,False
set_01,PC00058,58,2-amino-6-[[(5S)-5-amino-5-carboxy-2-oxopentyl]amino]-5-hydroxyhexanoic acid,C(CC(C(=O)O)N)C(CNCC(=O)CCC(C(=O)O)N)O,,C12H23N3O6,0,neg,2,3,,True,PubChem,191203,NOM-like candidate (random CID),,1.9166666666666667,0.5,False,False
set_01,PC00061,61,"(6S)-4,5,6,7-tetrahydro-3H-imidazo[4,5-c]pyridine-6-carboxylic acid",C1C(NCC2=C1N=CN2)C(=O)O,,C7H9N3O2,0,neg,1,1,,True,PubChem,162899,NOM-like candidate (random CID),,1.2857142857142858,0.2857142857142857,True,True
set_01,PC00062,62,"4-[[(1R,3aR,5aS,5bS,7aR,9S,11aR,11bS,13aS,13bS)-9-hydroxy-8,8,11a-trimethyl-1-prop-1-en-2-yl-1,2,3,4,5,5a,5b,6,7,7a,9,10,11,11b,12,13,13a,13b-octadecahydrocyclopenta[a]chrysen-3a-yl]methoxy]-2,2-dimethyl-4-oxobutanoic acid",CC(=C)C1CCC2(C1C3CCC4C(C3CC2)CCC5C4(CCC(C5(C)C)O)C)COC(=O)CC(C)(C)C(=O)O,,C34H54O5,0,neg,1,2,,True,PubChem,482758,NOM-like candidate (random CID),,1.588235294117647,0.14705882352941177,False,False
set_01,PC00063,63,3-(1H-indol-3-yl)-2-[[2-(phenylmethoxycarbonylamino)acetyl]amino]propanoic acid,C1=CC=C(C=C1)COC(=O)NCC(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O,,C21H21N3O5,0,neg,1,1,,True,PubChem,259608,NOM-like candidate (random CID),,1.0,0.23809523809523808,True,True
set_01,PC00064,64,(2S)-2-amino-4-[[amino(dimethylamino)methylidene]amino]oxybutanoic acid,CN(C)C(=NOCCC(C(=O)O)N)N,,C7H16N4O3,0,neg,1,1,,True,PubChem,399467,NOM-like candidate (random CID),,2.2857142857142856,0.42857142857142855,False,False
set_01,PC00066,66,"(2S,3S,4R,5R)-4,5-diacetamido-2,3-dihydroxy-6-oxohexanoic acid",CC(=O)NC(C=O)C(C(C(C(=O)O)O)O)NC(=O)C,,C10H16N2O7,0,neg,1,3,,True,PubChem,196126,NOM-like candidate (random CID),,1.6,0.7,False,False
set_01,PC00067,67,"2-amino-3-(3,7-dimethyl-2,6-dioxopurin-8-yl)propanoic acid",CN1C(=NC2=C1C(=O)NC(=O)N2C)CC(C(=O)O)N,,C10H13N5O4,0,neg,1,1,,True,PubChem,165833,NOM-like candidate (random CID),,1.3,0.4,True,True
